comment,target
Сколько этих сроков уже было. Пустые слова,-1
я вже задовбася цей касовий апарат чекать. Сил уже нема,-1
"Сегодня не грузился ютуб даже с платным VPN. Я пришла в отчаянии. Мы оказались в клетке, так её ещё и платком закрыли. 
Но, Хвала Господу!, при установке нового VPN заработало. С вас начинается мой день.",1
"Народ смотрит олимпиаду!
Там на улицах опрос был, что мол, как вы относитесь к отстранению РФ от Олимпиады. Так не все знали, что России там нет. Прикол был, когда женщина спрашивает: ""А с кем Россия воюет?... С Украиной?.. А почему Украина есть на Олимпиаде?"" Занавес!",0
Хорошая оговорочка насчет 30 лет.,0
"Команду Карпаты надо распустить, а футболистов отправить на фронт. Ухилянти.",-1
"Подробнейший анализ, разжевали доскональным образом, спасибо Вам !!!
Такое НИКТО не делает, уважение вашей команде!!",1
Спасибо за Вашу честную смелую ОПАСНУЮ работу.,1
"Какое может быть партнерство с ворами, которые налаживают торговлю оружием, сдавая свою страну (а может она им не своя?)))??? Это же очевидное ПРЕДАТЕЛЬСТВО!!!",-1
"Когда первого ребенка засунули в печь крематория концлагеря в центре Европы,а потом его пеплом посыпали скользкую дорожку в немецком саду- по определению уже тогда наступил конец евроцивилизации",-1
Благодарю!,1
"слышал то, что в звр это гарантии возврата по долгам, то есть Украине они не принадлежат фактически",0
"Спасибо, Сергей!",1
Уже вроде в Анкоридж хотят ехать,0
"20:19 ""необходима личная встреча""... на ринге в прямом эфире в поединке без правил. Вот было бы шоу!",-1
"По поводу спортсменки. Я думаю что взрослый , условно психически здоровый человек вправе сам решать что ему делать со своим телом, следовательно мне и в голову не придёт размышлять на тему правильно или не правильно поступила спортсменка, верен или не верен её выбор, а в девочек которые смотрят на спортсменку как на пример для продолжения есть родители.",0
"Про Линдси Вонн 
Посмотрите ее результаты в этом сезоне кубка прежде чем говорить про ее 41 год и профнепригодность.",-1
"48:25 
Придирка по мелочи, но вроде пишется ""United""",0
"Гера Шериф говорил как работали агенты с разбором их ошибок и слабых мест. О том, как нужно было отправлять или неотправлять агентов он не сообщал. Он исходил из того, что оперативникам дали задание и приказ, который они стремились выполнить в тех реальных условиях и на тех уровнях квалификации, которые имели.
Даже если вы оба не найдёте консенсуса я и дальше буду смотреть вас обоих! И Марка Солонина с тем чешским YouTube-бером который незаслужено поливает Марка той самой субстанцией, но про самолёты и машины рассказывает более полно и понятно.",0
"По поводу ""какать в кулечек"" - Технически, пудр-клозет ничуть не страшнее ватер-клозета при использовании и гораздо проще в реализации. Это если не говорить про продвинутый вариант с сепарацией мочи. В любом случае, это лучше, чем уличный сортир с дыркой.",1
"Пока есть что праздновать, этот мир не провалится от стыда.",-1
Линдси Вон уже была олимпийской чемпионкой в 2010 году и должна была уступить место молодежи,0
"Это еще не вспомнили про Мариупольцев, которые уезжали из Украины, через Европу в Россию чтобы вернуться в родной город, и также ""европейские"" беженцы (по поводу чего был скандал в Раде, говорили о том что так вернулись 30% жителей города, т.е. этот путь проделали около 100 тыс.человек). И все это при том что люди едут не имея гарантии что Россия даст право на вьезд, что ждет проверка которая может занят 6-8 часов, и можно получить отказ.",0
"Логически Украине давали две недели, но уже прошло в сто раз больше времени. Это что чудо или логика в этой войне не работает. Война закончится распадом России,",-1
Сергей вы насмешили записав Геру Шериф в МАГАвцы. Он лишь высказывает свое мнение как он сам лично вел бы себя будучи полицейским на месте ICE. .,-1
"Насчет поступка американской лыжницы, думаю, спортсмен волен сам принимать решение. И все-таки лыжный спорт для жизни не так опасен как бокс.",0
"41:30 По предварительным данным Национального банка Украины, золотовалютные (международные) резервы Украины по состоянию на 1 января 2026 года составили около $57,29–57,3 млрд USD.
То есть, не приближается к 70. Понимаем,конечно, 10 с хвостиком миллиардов для человека крупного масштаба это семечки, но. Если приводите цифры, они должны быть точными и правдивыми. Или у Сергея есть тайный инсайт ?",-1
А что это за клеенка на клавиатуре? Защита от кофе? Стрейч пленка эффективней.),0
"Сергей, Гера шериф никого не оправдывал. Он давал свой анализ на основании фактов",0
"Гера Шериф адекватный, профессионал, старается не трогать политику, и по своему мировоззрению и разумности - наш (и ваш)союзник. Посмотрите, чтобы сформировать свое мнение, уважаемый Сергей Любарский (просто было обидно за него))",0
"А где история из Днепра?
Она же не просто рандомная,она у всех на слуху",0
Про референдум на 16-й минуте прямо в яблочко,1
Сергей очень редко ошибается. К сожалению...,1
58:45 вроде в Португалии социалисты уже давно у власти. При этом страна в 21 веке неплохо продвинулась (иммигрантам не платят пособия),0
"Уважаемый Любаоский! Не подскажете какой государственный орган Украины, каким документом и когда объявил состояние войны Украины с РФ?",0
Благодарю за Вашу работу,1
"Не путайте Гегеля с Гоголем, уважаемый Сергей. Это я Вам не прощаю!",-1
"про Геру Шерифа - ""мимо кассы""...",-1
"Благодарю! Интересно вас слушать! Я помню, что Вы говорили до этого во многих видео. Поэтому сейчас ясно, что Вы не давите и не навязываете какую то свою позицию, а в контексте всей информации даёте самим украинцам думать и принимать решение, осознавая реальность. 
Жаль, что всё действительно плохо и даже страшно подумать, что будет дальше",1
"интересно, весь мир думает ,что кассир это трамп ,но это ошибка . кондуктор в автобусе жизни это вообще не человек и он создает условия при которых оплачивать проезд будут все .но вот проблема в том что кондуктору деньги бумажные и пр. мат ценности не нужны ему нужны духовные средства которые может выработать сфера человека . а 95% населения даже понятия об этом не имеют ,вот тут то и идет в качестве оплаты или болезни или смерть раньше времени . возможно кондуктор в качестве оплаты возьмет эмоции тех у кого нету денег на минимальные нужды и кто то даст им эту возможность . но как мне показали картину: булочки разложены в банки и повара готовы их закатать по банкам .",0
Какой поганый мир построило человечество!,-1
"В сегодняшнем выпуске прекрасно абсолютно все - гневная тирада про глупых украинцев, которые имеют наглость спорить с самим Марком Семеновичем и не хотят подписывать соглашения, потом неожиданный вывод, что Путин и не собирается подписывать никакие соглашений, потом рассказ про совещание с членами правительства по энергетике (начало звездной болезни?), потом разнос Украины по бытовым вопросам (ТЦК, русский язык, экспорт оружия) и это Яковенко записал всего один видеоролик где упомянул Любарского. Путин бомбит Украину каждую неделю, но такой бомбежки Украина не видела уже давно",-1
А шо у нас и сейчас кассовый аппарат и шо,-1
"Парламент куча навоза. У меня даже собака с этого рассеялась. Я на него уже обрушивал разные эпитеты,но как вы это зделали ,это "" бомба""",1
"А , может, слово благородство вообще не известно в нынешней Европе( бывшем центре цивилизации)?!",-1
1:04:00 какой феноменальный бред,-1
Что это значит срок до июня? Кто имеет давать сроки? Это не Иран,0
"Лавров вон копытом стучит, говорит что не по-мужски отступать от Анкориджских соглашений.",0
"9:43 Военторг ""Америка"", это как военторг ""Швейцария"" в 1940-ых: продаём взрыватели к снарядам СССР и фильтры по англ. лицензии для танковых моторов Германии.",0
"40:00 рост золото валютного запаса Украины. Если в заначке золото, то оно же выросло в цене. Может отсюда и рост с 30 до 70 миллиардов?",0
"Это все результат заявлений , что нам нужно утилизировать по 50 000 рос. в .в месяц и что сделаем блэкаут в Москве .Сделали???",-1
"Референдум в тупом одившем обществе, где будут голосовать путужні женщины и пенсионеры, у которых семьи по германия сидят, это прям будет очень потужний референдум.",-1
почему вы смешиваите в одну кашу вибори и референдум?,0
"Гера Шериф не трампист, он республиканец. Он хотел, чтоб президентом США был Рон Десантис",0
"Сергей, спасибо,пожалуйста меньше рмантизма в выводах.спасибо",1
Референдум по территориальным вопросам запрещен Конституцией Украины,0
"Как убедительно и разумно звучат ваши рассуждения о разумности выборов! Народные массы заморочены до полной шизофрении, то есть они, массы, не способны воспринимать объективную окружающую реальность. Люди живут в своих иллюзиях навеянных лживыми информаторами и убогим образованием и ничтожным общим развитием. Вам спасибо, но жаль, что ваши слова не доходят до тех, кто принимает решения",1
"Крайняя невоспитанные выпады в сторону Геры шерифа Гари Табаха, правила хорошего тона никто не отменял, Сергей в очередной раз показал своё нутро.",-1
"Добрый день из Киева. Прослушал ваш выпуск, да отопления нет, свет дают но не по графику (отключения). Вы все правильно говорите и мысль логично строите. Но мне кажется Укрина это не США. И нашим бюрократам все равно, молодеж будет выезжать а бабушки проголосуют за них..... ""благо, что золотой запас есть"". Думаю что наше воено- политическое руководство будет воевать до победы ( капитуляций россий). По крайней мере до конца 2027, а там будет видно. Так что люди будут терпеть, а марафон будет пропогандировать какие русские(путин) плохой. Вы же с Марком Солониным, правильно говорите "" маленкая россия (Украина) воююет с большой россией.",1
"Вопрос? : Ув. Сергей вы пришли в супермаркет (деньги у Вас есть) хотите купить икру осетровую, осетровый балык, трюфеля и пампанской Дон Периньон а Вам продавец не продает лицом невышли - как назвать такой маркет и Ваши действия
ПыСы аллегория на американский военный маркет - бери что дают или вали. Ваш военторг больше похож на комиссионку где самые нужные и востребованные товары либо отсутствуют либо витринный образец либо для избранных и такое супермаркетом назвать сложно",-1
"Дал срок? О на А надо поменять. Солженицина смотрел, советую тем кто умеет слушать!",0
Золотовалютный резерв это заработок для высоких чинов Ощадбанка там есть своя схема по которой они зарабатывают валютой и Зеленский у них отобрать не может потому что он ссыкло он всем дает зарабатывать чтоб на него не тыкали пальца что ты гребешь а нам не даешь остальное ему похуй,-1
"Вы последнее время стали называть МАГА ультраправыми, хотя также часто говорите что Трамп и его команда включая Венса демократы. Вам не кажется что Трамп и МАГА в целом скорее довольно умеренные политически, но очень резкие в риторике из-за чего часто отталкивают умеренных избирателей?",0
"Какая оскорбительная ахинея. 
1. Lindsey Vonn - ""единственная причина почему ее допустили, потому что она известна, а известна, потому что хорошенькая"". ""... а известна она потому что подружка гольф-игрока""
На самом деле Линдси одна из самых титулованных горнолыжниц за всю историю Кубка мира. А в дисциплине downhill она САМАЯ титулованная за всю историю.
2. ""Ей 41 год.... наверняка она была не в лучшей спортивной форме"", (пора уходить, бла-бла-бла). 
На самом деле в текущем сезоне 2025-2026 прошло 5 этапов кубка мира по горным лыжам в дисциплине downhill из которых Линдси выиграла 2, а в 3х других заняла либо второе либо третье место. В дисциплине downhill на 311.26 Линдси занимает 1 место в рейтинге. Взявшая золото олимпиады 2026 представительница США Бризи Джонсон - 6-ая, следующие в рейтинге горнолыжницы США занимают всего лишь 15 и 26 места. Линдси в Кортине выигрывала 9 раз.
3. ""Она подала дурной пример, поставив свое спортивное достижение выше здоровья""
На самом деле так устроен большой спорт.
ИТОГО. 
Сами подберите эпитеты для того, кто пользуясь авторитетом, транслирует на свою аудиторию поток своих личных эмоций даже не потрудившись изучить факты. И регулярно заявляет об объективности .",-1
"Меня терзают сомнения. Как возникла такая ситуация. Есть объективные причины - сильные морозы. Как бы это не звучало дико, но зимой такое бывает. Это вполне можно было предугадать и подготовиться к этому. 
А теперь к субъективному. Почему в Киеве возникла такая ситуация? Вариант первый: Россияне качественно усовершенствовали свои ракеты,тактику их применения и количество настолько, что передовые системы западного ПВО не справляются. Вопрос: почему тогда российские системы ПВО никак не помогли режиму Венесуэлы, что даже Венс язвительно ""подколол"" россиян в своём выступлении? Ведь в условиях войны необходимо усовершенствовать как ударные, так и оборонительные орудия.
Второе: Киевский режим не подготовил энергосистему к зиме. Не были закуплены снаряды для ПВО в достаточном количестве. Об отсутствии ракет для ""Патриот"" как раз в пики морозов недавно заявил Зеленский. Если не было ракет, то почему? Не захотели покупать или не захотели продавать? Сейчас они вроде как появились и сбили Цирконы(если верить поступающей информации).
Может получается так, что правительство Украины вместе с партнёрами или без них вольно или невольно создали условия в которых Путин получил как минимум моральное преимущество. Дали ему карты в руки. И теперь создается впечатление, что Украина на грани гибели, а Путин в полушаге от победы. Надо лишь разобраться с тем, ощущение это или реальность.",0
"Ну продажа оружия это норм, ибо производители не могут продавать все государству, это хорошее решение, но очень запоздалое",1
"12:00 ""...прикрыть свою зaдницу..."" Ясно, один президент делал вид что поставляет оружие в Украину, а второй делает вид что пытается закончить войну
Причем выглядит так, что вы подсуживаете Трампа, что Байден-то точно маньчжурский кандидат. А Трамп искренне пытался, но ему не дали. Он сделал всё, что мог",-1
"То, что отложено в ""кубышку"" рано или поздно можно стырить и попилить, а снаряд улетевший в сторону России, он уже всё.. тю-тю..",0
Как стыдно за человечество,-1
"А шо там по поводу письма к генпрокурору Украины и продолжения полемики с блогером, с некой еврейской фамилией Якименко ( Иахим)) есть тут шото? Напишите, кто нибудь. А то, остальное, я и так уже 100 раз слышал.",-1
"Сергей,Вас же слушают, как бы теперь не потушили Куйбышев!) Чтоб Россию победить)",-1
"Донбасс уже не обсуждается, поезд уплыл Любарский так говорит, как будто всерьез такой вариант рассматривался и с таким намеком, что в этом хоть какая-то косвенно есть вина Украины. И ещ уточнение. Трамп от вас отвязался - сказал Любарский. Поясняю для тех, кто не в курсе. До выборов в конгресс Трамп будет пытаться и дальше трусливо склонять Украину к поражению и распаду, чтобы ценой Украины приостановить войну. Как вы понимаете, это невозможно и поэтому Трамп проиграет выборы в Конгресс, ибо его провалы по всем остальным фронтам не оставляют ему шансов удержать большинство.",-1
